No,word,level,number of character
1224,headache,5,8
1682,medicine,5,8
1829,nineteen,5,8
1857,notebook,5,8
2402,shopping,5,8
3103,yourself,5,8
317,bookstore,5,9
515,classroom,5,9
681,delicious,5,9
900,expensive,5,9
1355,influence,5,9
1379,interview,5,9
1798,necessary,5,9
1820,newspaper,5,9
1936,P.E. (PE),5,9
2333,scientist,5,9
2443,situation,5,9
2923,vegetable,5,9
2948,volunteer,5,9
2801,tournament,5,10
2946,volleyball,5,10
563,communication,5,13
76,also,6,4
187,away,6,4
190,baby,6,4
191,back,6,4
223,bath,6,4
245,been,6,4
267,best,6,4
276,bike,6,4
280,bird,6,4
298,blue,6,4
315,book,6,4
326,born,6,4
331,both,6,4
379,busy,6,4
391,cake,6,4
395,call,6,4
400,came,6,4
420,care,6,4
510,city,6,4
546,cold,6,4
554,come,6,4
596,cook,6,4
599,cool,6,4
644,cute,6,4
667,dear,6,4
734,does,6,4
744,done,6,4
751,down,6,4
776,drum,6,4
786,each,6,4
802,easy,6,4
877,even,6,4
880,ever,6,4
911,face,6,4
920,fall,6,4
933,fast,6,4
945,feel,6,4
950,felt,6,4
972,find,6,4
973,fine,6,4
985,fish,6,4
990,five,6,4
1017,food,6,4
1039,four,6,4
1047,free,6,4
1059,from,6,4
1072,game,6,4
1100,girl,6,4
1102,give,6,4
1105,glad,6,4
1122,good,6,4
1162,grow,6,4
1194,hand,6,4
1203,hard,6,4
1216,have,6,4
1223,head,6,4
1228,hear,6,4
1241,help,6,4
1245,here,6,4
1248,hers,6,4
1253,high,6,4
1267,hold,6,4
1271,home,6,4
1287,hope,6,4
1298,hour,6,4
1325,idea,6,4
1381,into,6,4
1421,join,6,4
1429,July,6,4
1433,June,6,4
1439,just,6,4
1449,keep,6,4
1469,kind,6,4
1470,kind,6,4
1484,know,6,4
1507,last,6,4
1510,late,6,4
1530,left,6,4
1544,life,6,4
1553,like,6,4
1554,like,6,4
1557,line,6,4
1559,lion,6,4
1569,live,6,4
1582,long,6,4
1584,look,6,4
1586,lose,6,4
1588,lost,6,4
1594,love,6,4
1611,made,6,4
1620,make,6,4
1633,many,6,4
1657,math,6,4
1671,mean,6,4
1684,meet,6,4
1713,mine,6,4
1721,miss,6,4
1744,more,6,4
1746,most,6,4
1753,move,6,4
1761,much,6,4
1769,must,6,4
1777,name,6,4
1796,near,6,4
1800,need,6,4
1818,news,6,4
1821,next,6,4
1823,nice,6,4
1828,nine,6,4
1847,noon,6,4
1898,once,6,4
1903,only,6,4
1905,open,6,4
1921,ours,6,4
1926,over,6,4
1968,park,6,4
1970,part,6,4
1974,pass,6,4
2053,play,6,4
2079,poor,6,4
2165,rain,6,4
2181,read,6,4
2182,read,6,4
2247,rice,6,4
2252,ride,6,4
2277,room,6,4
2296,said,6,4
2304,same,6,4
2307,sang,6,4
2317,save,6,4
2356,seen,6,4
2359,sell,6,4
2360,send,6,4
2401,shop,6,4
2410,show,6,4
2418,sick,6,4
2433,sing,6,4
2503,some,6,4
